BBA_ID,Lat1,Lon1,Forest1,Elev1,Lat2,Lon2,Forest2,Elev2,Lat3,Lon3,Forest3,Elev3,Lat4,Lon4,Forest4,Elev4
95B73,39.8125,-75.46875,0.737059833,NA,39.79166667,-75.4375,0.486418451,NA,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502
95B74,39.8125,-75.40625,0.235777069,NA,39.79166667,-75.4375,0.486418451,NA,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502
96A16,39.89583333,-75.28125,0.061568464,15.83473325,39.875,-75.3125,0.355754708,24.79906245,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502
96B12,39.85416667,-75.28125,0.013559322,NA,39.875,-75.3125,0.355754708,24.79906245,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502
96B11,39.85416667,-75.34375,0.385542169,NA,39.875,-75.3125,0.355754708,24.79906245,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502
95A76,39.89583333,-75.40625,0.329932288,56.71844946,39.875,-75.4375,0.521230115,65.71929113,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502
95B71,39.85416667,-75.46875,0.772835988,91.38401031,39.875,-75.4375,0.521230115,65.71929113,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502
95A75,39.89583333,-75.46875,0.828050347,75.50239029,39.875,-75.4375,0.521230115,65.71929113,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502
95B72,39.85416667,-75.40625,0.154101835,39.27231445,39.875,-75.4375,0.521230115,65.71929113,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502
95A71,39.97916667,-75.46875,0.80367719,98.67813704,39.95833333,-75.4375,0.565673539,98.61661651,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502
96A15,39.89583333,-75.34375,0.962348877,33.76339165,39.875,-75.3125,0.355754708,24.79906245,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502
96A11,39.97916667,-75.34375,0.231662859,98.9769907,39.95833333,-75.3125,0.51689082,72.46526178,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502
96A14,39.9375,-75.28125,0.645057448,45.17761072,39.95833333,-75.3125,0.51689082,72.46526178,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502
96A12,39.97916667,-75.28125,0.620584562,73.34358597,39.95833333,-75.3125,0.51689082,72.46526178,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502
96A13,39.9375,-75.34375,0.570258411,72.36285973,39.95833333,-75.3125,0.51689082,72.46526178,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502
95A72,39.97916667,-75.40625,0.21219716,114.1420364,39.95833333,-75.4375,0.565673539,98.61661651,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502
95A73,39.9375,-75.46875,0.771515183,103.0240261,39.95833333,-75.4375,0.565673539,98.61661651,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502
95A74,39.9375,-75.40625,0.475304623,78.6222665,39.95833333,-75.4375,0.565673539,98.61661651,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502
96B21,39.85416667,-75.21875,0.133333333,NA,39.875,-75.1875,0.365219638,NA,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502
96A25,39.89583333,-75.21875,0.5,NA,39.875,-75.1875,0.365219638,NA,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502
96A26,39.89583333,-75.15625,0.462325581,NA,39.875,-75.1875,0.365219638,NA,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502
96A22,39.97916667,-75.15625,0.370858434,NA,39.95833333,-75.1875,0.261895583,26.77130814,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502
96A31,39.97916667,-75.09375,0.051823417,NA,39.95833333,-75.0625,0.051823417,NA,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502
96A23,39.9375,-75.21875,0.238329686,14.51009893,39.95833333,-75.1875,0.261895583,26.77130814,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502
96A21,39.97916667,-75.21875,0.259046385,39.03251734,39.95833333,-75.1875,0.261895583,26.77130814,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502
96A24,39.9375,-75.15625,0.179347826,NA,39.95833333,-75.1875,0.261895583,26.77130814,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502
95A65,39.89583333,-75.59375,0.60041269,97.6677146,39.875,-75.5625,0.397236705,102.2059597,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502
95A63,39.9375,-75.59375,0.781020398,112.303389,39.95833333,-75.5625,0.412682548,119.5404979,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502
95A62,39.97916667,-75.53125,0.175117349,121.7624512,39.95833333,-75.5625,0.412682548,119.5404979,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502
95A61,39.97916667,-75.59375,0.523829004,137.4835653,39.95833333,-75.5625,0.412682548,119.5404979,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502
95B61,39.85416667,-75.59375,0.700795837,NA,39.875,-75.5625,0.397236705,102.2059597,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502
95A55,39.89583333,-75.71875,0.72710214,121.7845404,39.875,-75.6875,0.652041611,108.576172,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502
95A56,39.89583333,-75.65625,0.361025641,98.68283892,39.875,-75.6875,0.652041611,108.576172,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502
95B51,39.85416667,-75.71875,0.662757009,108.2917143,39.875,-75.6875,0.652041611,108.576172,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502
94A41,39.97916667,-75.84375,0.832875789,161.2525722,39.95833333,-75.8125,0.585984192,141.8835105,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502
95A64,39.9375,-75.53125,0.17076344,106.612586,39.95833333,-75.5625,0.412682548,119.5404979,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502
95A52,39.97916667,-75.65625,0.322368732,97.26120853,39.95833333,-75.6875,0.443749571,99.12736687,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502
95A53,39.9375,-75.71875,0.569819137,92.85807419,39.95833333,-75.6875,0.443749571,99.12736687,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502
95A51,39.97916667,-75.71875,0.485864926,112.7768587,39.95833333,-75.6875,0.443749571,99.12736687,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502
95A54,39.9375,-75.65625,0.396945489,93.61332607,39.95833333,-75.6875,0.443749571,99.12736687,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502
95A66,39.89583333,-75.53125,0.188900251,106.7442047,39.875,-75.5625,0.397236705,102.2059597,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502
95B52,39.85416667,-75.65625,0.857281653,105.5455942,39.875,-75.6875,0.652041611,108.576172,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502
95B62,39.85416667,-75.53125,0.098838043,NA,39.875,-75.5625,0.397236705,102.2059597,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502
94A45,39.89583333,-75.84375,0.904940588,138.8019257,39.875,-75.8125,0.59879464,132.9590624,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502
