Cell,BBA_ID,eLists,eHours,eKM,eHA,eNumObs,eCount
1373,47A66,0,0,0,0,0,0
1374,48A25,0,0,0,0,0,0
1375,47A75,6,0.6,0,0,6,0
1376,48A16,0,0,0,0,0,0
1377,47A76,0,0,0,0,0,0
1378,48A15,0,0,0,0,0,0
1379,54B41,0,0,0,0,0,0
1380,54B32,1,2,3.219,0,0,0
1381,54B31,0,0,0,0,0,0
1382,54B22,0,0,0,0,0,0
1383,54B21,0,0,0,0,0,0
1384,54B12,0,0,0,0,0,0
1385,54B11,1,0.7,3.219,0,2,0
1386,53B72,0,0,0,0,0,0
1387,42B12,0,0,0,0,0,0
1388,53B71,0,0,0,0,0,0
1389,42B21,0,0,0,0,0,0
1390,53B62,0,0,0,0,0,0
1391,42B22,0,0,0,0,0,0
1392,53B61,0,0,0,0,0,0
1393,42B31,0,0,0,0,0,0
1394,53B52,0,0,0,0,0,0
1395,42B32,0,0,0,0,0,0
1396,53B51,0,0,0,0,0,0
1397,42B41,0,0,0,0,0,0
1398,53B42,0,0,0,0,0,0
1399,43B42,0,0,0,0,0,0
1400,52B41,0,0,0,0,0,0
1401,43B51,0,0,0,0,0,0
1402,52B32,27,30.17,19.054,6.0703,30,0
1403,43B52,2,2,12.875,0,2,0
1404,52B31,0,0,0,0,0,0
1405,43B61,8,0.8,0,0,8,0
1406,52B22,0,0,0,0,0,0
1407,43B62,1,0.25,1.609,0,1,0
1408,52B21,1,0.5,0,0,0,0
1409,43B71,0,0,0,0,0,0
1410,52B12,0,0,0,0,0,0
1411,43B72,0,0,0,0,0,0
1412,52B11,0,0,0,0,0,0
1413,44B11,0,0,0,0,0,0
1414,51B72,6,17.92,49.084,0,14,15
1415,44B12,17,2.6,3.219,0,17,0
1416,51B71,1,2,3.219,0,1,0
1417,44B21,0,0,0,0,0,0
1418,51B62,0,0,0,0,0,0
1419,44B22,0,0,0,0,0,0
1420,51B61,0,0,0,0,0,0
1421,44B31,0,0,0,0,0,0
1422,51B52,0,0,0,0,0,0
1423,44B32,1,3,16.093,0,1,0
1424,51B51,0,0,0,0,0,0
1425,44B41,0,0,0,0,0,0
1426,51B42,0,0,0,0,0,0
1427,45B42,0,0,0,0,0,0
1428,50B41,0,0,0,0,0,0
1429,45B51,5,10.33,16.898,0,3,0
1430,50B32,0,0,0,0,0,0
1431,45B52,1,0.5,1.609,0,1,0
1432,50B31,0,0,0,0,0,0
1433,45B61,0,0,0,0,0,0
1434,50B22,0,0,0,0,0,0
1435,45B62,0,0,0,0,0,0
1436,50B21,0,0,0,0,0,0
1437,45B71,0,0,0,0,0,0
1438,50B12,0,0,0,0,0,0
1439,55B54,1,5,12.874,0,2,0
1440,45B72,0,0,0,0,0,0
1441,50B11,0,0,0,0,0,0
1442,46B11,0,0,0,0,0,0
1443,49B72,0,0,0,0,0,0
1444,46B12,0,0,0,0,0,0
1445,49B71,0,0,0,0,0,0
1446,46B21,1,6,24.14,0,1,2
1447,49B62,0,0,0,0,0,0
1448,55B53,0,0,0,0,0,0
1449,46B22,0,0,0,0,0,0
1450,49B61,2,5.42,4.828,0.4047,1,0
1451,46B31,0,0,0,0,0,0
1452,49B52,0,0,0,0,0,0
1453,46B32,0,0,0,0,0,0
1454,49B51,8,0.8,0,0,8,3
1455,46B41,0,0,0,0,0,0
1456,49B42,8,0.8,0,0,8,3
1457,47B42,0,0,0,0,0,0
1458,48B41,0,0,0,0,0,0
1459,47B51,0,0,0,0,0,0
1460,48B32,0,0,0,0,0,0
1461,55B44,0,0,0,0,0,0
1462,47B52,0,0,0,0,0,0
1463,48B31,0,0,0,0,0,0
1464,47B61,1,3.5,7.242,0,2,2
1465,48B22,0,0,0,0,0,0
1466,47B62,0,0,0,0,0,0
1467,48B21,0,0,0,0,0,0
1468,47B71,0,0,0,0,0,0
1469,48B12,0,0,0,0,0,0
1470,47B72,0,0,0,0,0,0
1471,48B11,0,0,0,0,0,0
1472,54B43,0,0,0,0,0,0
1473,54B34,0,0,0,0,0,0
1474,54B33,0,0,0,0,0,0
1475,54B24,0,0,0,0,0,0
1476,54B23,1,3,8.047,0,2,0
1477,54B14,0,0,0,0,0,0
1478,54B13,0,0,0,0,0,0
1479,53B74,0,0,0,0,0,0
1480,42B14,0,0,0,0,0,0
1481,53B73,1,1,0,0,0,0
1482,42B23,2,6.5,27.359,0,2,0
1483,53B64,0,0,0,0,0,0
1484,42B24,0,0,0,0,0,0
1485,53B63,0,0,0,0,0,0
