"","Lon1","Lat1","Centroid_ID","rn","nearest_in_grid2","nearest_in_grid3","nearest_in_grid4"
"128",-76.28125,39.77083333,128,128,34,3,2
"129",-76.46875,39.72916667,129,129,36,3,2
"130",-76.53125,39.89583333,130,130,38,4,2
"131",-76.59375,39.85416667,131,131,38,4,2
"132",-76.71875,39.85416667,132,132,39,4,2
"133",-76.71875,39.89583333,133,133,39,4,2
"134",-76.65625,39.89583333,134,134,39,4,2
"135",-76.65625,39.85416667,135,135,39,4,2
"136",-76.59375,39.89583333,136,136,38,4,2
"137",-76.71875,39.97916667,137,137,40,4,2
"138",-76.65625,39.97916667,138,138,40,4,2
"139",-76.84375,39.85416667,139,139,41,4,2
"140",-76.78125,39.97916667,140,140,42,4,2
"141",-76.78125,39.9375,141,141,42,4,2
"142",-76.84375,39.9375,142,142,42,4,2
"143",-76.65625,39.9375,143,143,40,4,2
"144",-76.53125,39.85416667,144,144,38,4,2
"145",-76.59375,39.9375,145,145,43,4,2
"146",-76.53125,39.9375,146,146,43,4,2
"147",-76.53125,39.97916667,147,147,43,4,2
"148",-76.59375,39.97916667,148,148,43,4,2
"149",-76.71875,39.9375,149,149,40,4,2
"150",-76.90625,39.85416667,150,150,44,4,2
"151",-76.84375,39.89583333,151,151,41,4,2
"152",-76.78125,39.89583333,152,152,41,4,2
"153",-76.96875,39.89583333,153,153,44,4,2
"154",-76.90625,39.89583333,154,154,44,4,2
"155",-76.71875,39.72916667,155,155,45,4,2
"156",-76.84375,39.97916667,156,156,42,4,2
"157",-76.96875,39.9375,157,157,46,4,2
"158",-76.96875,39.97916667,158,158,46,4,2
"159",-76.90625,39.9375,159,159,46,4,2
"160",-76.90625,39.97916667,160,160,46,4,2
"161",-76.96875,39.85416667,161,161,44,4,2
"162",-76.78125,39.85416667,162,162,41,4,2
"163",-76.53125,39.8125,163,163,47,4,2
"164",-76.59375,39.77083333,164,164,47,4,2
"165",-76.59375,39.8125,165,165,47,4,2
"166",-76.53125,39.72916667,166,166,48,4,2
"167",-76.59375,39.72916667,167,167,48,4,2
"168",-76.90625,39.77083333,168,168,49,4,2
"169",-76.53125,39.77083333,169,169,47,4,2
"170",-76.71875,39.8125,170,170,50,4,2
"171",-76.71875,39.77083333,171,171,50,4,2
"172",-76.65625,39.8125,172,172,50,4,2
"173",-76.65625,39.77083333,173,173,50,4,2
"174",-76.65625,39.72916667,174,174,45,4,2
"175",-76.78125,39.77083333,175,175,51,4,2
"176",-76.84375,39.77083333,176,176,51,4,2
"177",-76.78125,39.8125,177,177,51,4,2
"178",-76.84375,39.8125,178,178,51,4,2
"179",-76.96875,39.77083333,179,179,49,4,2
"180",-76.90625,39.8125,180,180,49,4,2
"181",-76.96875,39.72916667,181,181,52,4,2
"182",-76.96875,39.8125,182,182,49,4,2
"183",-76.78125,39.72916667,183,183,53,4,2
