"","BBA_ID","Lat1","Lon1","Forest1","Elev1","Lat2","Lon2","Forest2","Elev2","Lat3","Lon3","Forest3","Elev3","Lat4","Lon4","Forest4","Elev4","Centroid_ID","nearest_block_BBA_ID","Cell","eLists","eHours","eKM","eHA","eNumObs","eCount","total.eLists","total.eHours","total.eNumObs","total.eCount"
"20","94C41",39.72916667,-75.84375,0.977500248,NA,39.70833333,-75.8125,0.764122657,NA,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,20,20,4858,1,4,0,0,2,0,2.5,5.625,4.5,0
"21","94C32",39.72916667,-75.90625,0.266027332,NA,39.70833333,-75.9375,0.440440434,NA,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,21,21,4860,0,0,0,0,0,0,0,0,0,0
"22","94A25",39.89583333,-76.09375,0.291722973,186.3243179,39.875,-76.0625,0.52075779,164.3392942,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535,22,22,4544,0,0,0,0,0,0,2.75,5.2075,4,0
"23","94B12",39.85416667,-76.15625,0.735328018,179.7641544,39.875,-76.1875,0.499246385,189.061823,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535,23,23,4632,2,4.67,38.623,0,2,0,1.75,4.2925,2.5,0
"24","94A14",39.9375,-76.15625,0.610349612,189.0812716,39.95833333,-76.1875,0.398564884,144.8843507,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535,24,24,4459,0,0,0,0,0,0,0,0,0,0
"25","93A72",39.97916667,-76.28125,0.836823203,123.8443865,39.95833333,-76.3125,0.887801002,113.5881257,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535,25,25,4376,1,1.25,1.609,0,1,0,0.25,0.3125,0.25,0
"26","93A76",39.89583333,-76.28125,0.75210924,210.3480595,39.875,-76.3125,0.568029808,172.6133852,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535,26,26,4550,0,0,0,0,0,0,9,3.005,13.5,0
"27","93B62",39.85416667,-76.40625,0.305187544,224.8875523,39.875,-76.4375,0.603825028,201.7823029,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535,27,27,4640,0,0,0,0,0,0,0,0,0,0
"28","94A22",39.97916667,-76.03125,0.588438017,163.9497566,39.95833333,-76.0625,0.445225095,179.3490467,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535,28,28,4368,35,289.27,6.437,0.506,35,0,8.75,72.3175,8.75,0
"29","94B23",39.8125,-76.09375,0.58094489,130.127512,39.79166667,-76.0625,0.591333479,125.6462882,39.83333333,-76.25,0.530599034,153.3525243,39.66666667,-76.5,0.517227388,177.669535,29,29,4711,2,0.16,0,0,2,0,2.25,1.3325,2.25,0
