BBA_ID,point,Latitude,Longitude,elev_metres,Forest,v1,v2,v3,v4,v5
26D35,1,42.01497,-80.35419,215.8704376,0.084337349,0,0,0,0,0
26D35,2,42.02414,-80.3701,176.0149841,0.25,0,0,0,0,0
26D35,3,42.03282,-80.33507,208.352829,0.488095238,0,0,0,0,0
26D35,4,42.01935,-80.31799,221.0365753,0,0,0,0,0,0
26D35,6,42.02445,-80.34775,212.0804138,0,0,0,0,0,0
26D35,7,42.01056,-80.31861,227.4319916,0,0,0,0,0,0
26D35,8,42.0239,-80.32742,216.0275574,0.035294118,0,0,0,0,0
26D35,9,42.03233,-80.32344,210.1418457,0,0,0,0,0,0
26D36,1,42.01252,-80.26599,265.2744446,0.036144578,0,0,0,0,0
26D36,4,42.01983,-80.25397,256.6051331,0,0,0,0,0,0
26D36,5,42.02427,-80.30415,218.9871979,0.096385542,0,0,0,0,0
26D36,7,42.00492,-80.28207,262.0344543,0.843373494,0,0,0,0,0
26D36,8,42.0321,-80.27775,222.1785278,0.464285714,0,0,0,0,0
26D36,9,42.02289,-80.29407,240.0543518,0,0,0,0,0,0
26D36,10,42.03801,-80.26824,213.2879028,0.277108434,0,0,0,0,0
26D36,15,42.00734,-80.25658,273.0900879,0.285714286,0,0,0,0,0
26D43,1,42.06682,-80.23414,205.5977783,0,0,0,0,0,0
26D43,2,42.06017,-80.23269,222.4424896,0.011764706,0,0,0,0,0
26D43,3,42.08024,-80.21469,201.2264252,0.195402299,0,0,0,0,0
26D43,4,42.06324,-80.20053,236.5607452,0,0,0,0,0,0
26D43,5,42.05856,-80.2089,242.7459259,0.011904762,0,0,0,0,0
26D43,6,42.04392,-80.21315,244.504303,0,0,0,0,0,0
26D43,7,42.05809,-80.22698,219.6934052,0.156626506,0,0,0,0,0
26D43,8,42.05514,-80.21949,230.5589752,0.084337349,0,0,0,0,0
26D45,1,42.0036,-80.20409,267.9334106,0.240963855,0,0,0,0,0
26D45,2,42.00764,-80.19584,283.5270996,0,0,0,0,0,0
