"","BBA_ID","Centroid_ID","Point_ID","Lon1","Lat1","Forest1","total.dets","Longitude","Latitude","total.eLists","total.eHours","total.eNumObs","total.eCount","nearest_block_BBA_ID","new_BBA"
"43","27C55",4916,5,-80.09375,42.14583333,0.496252794,0,-80.09101,42.13801,96,293.36,120,0,4916,"BBA_ID.49"
"44","27C55",4916,6,-80.09375,42.14583333,0.496252794,0,-80.10754,42.15285,96,293.36,120,0,4916,"BBA_ID.50"
"45","27C55",4916,7,-80.09375,42.14583333,0.496252794,0,-80.09315,42.15944,96,293.36,120,0,4916,"BBA_ID.51"
"46","27C55",4916,8,-80.09375,42.14583333,0.496252794,0,-80.11656,42.15821,96,293.36,120,0,4916,"BBA_ID.52"
"47","27C56",4922,1,-80.03125,42.14583333,0.068195179,0,-80.03596,42.14798,0,0,0,0,4922,"BBA_ID.53"
"48","27C56",4922,2,-80.03125,42.14583333,0.068195179,0,-80.03393,42.14156,0,0,0,0,4922,"BBA_ID.54"
"49","27C56",4922,3,-80.03125,42.14583333,0.068195179,0,-80.04248,42.15254,0,0,0,0,4922,"BBA_ID.55"
"50","27C56",4922,4,-80.03125,42.14583333,0.068195179,0,-80.05716,42.13275,0,0,0,0,4922,"BBA_ID.56"
"51","27C56",4922,5,-80.03125,42.14583333,0.068195179,0,-80.01486,42.13856,0,0,0,0,4922,"BBA_ID.57"
"52","27C56",4922,6,-80.03125,42.14583333,0.068195179,0,-80.04552,42.13575,0,0,0,0,4922,"BBA_ID.58"
"53","27C56",4922,7,-80.03125,42.14583333,0.068195179,0,-80.02699,42.15952,0,0,0,0,4922,"BBA_ID.59"
"54","27C56",4922,8,-80.03125,42.14583333,0.068195179,0,-80.02398,42.13384,0,0,0,0,4922,"BBA_ID.60"
"55","27C64",4908,1,-79.90625,42.1875,0.263337077,0,-79.91914,42.17878,0,0,0,0,4908,"BBA_ID.63"
"56","27C64",4908,2,-79.90625,42.1875,0.263337077,0,-79.91244,42.1739,0,0,0,0,4908,"BBA_ID.64"
"57","27C64",4908,3,-79.90625,42.1875,0.263337077,0,-79.91695,42.18948,0,0,0,0,4908,"BBA_ID.65"
"58","27C64",4908,4,-79.90625,42.1875,0.263337077,0,-79.93,42.18005,0,0,0,0,4908,"BBA_ID.66"
"59","27C64",4908,5,-79.90625,42.1875,0.263337077,0,-79.90338,42.18524,0,0,0,0,4908,"BBA_ID.67"
"60","27C64",4908,6,-79.90625,42.1875,0.263337077,0,-79.89886,42.17373,0,0,0,0,4908,"BBA_ID.68"
"61","27C64",4908,7,-79.90625,42.1875,0.263337077,0,-79.93089,42.19135,0,0,0,0,4908,"BBA_ID.69"
"62","27C64",4908,8,-79.90625,42.1875,0.263337077,0,-79.89108,42.20089,0,0,0,0,4908,"BBA_ID.70"
